time,symbol,expiry,strike,option_type,open,high,low,close,volume
2026-05-25 04:29:00+00,BANKNIFTY,2026-05-26,54900,PE,273.9,276.75,269,269.1,37860
2026-05-25 04:30:00+00,BANKNIFTY,2026-05-26,54900,PE,266.85,272.3,263.75,270.5,30720
2026-05-25 04:41:00+00,NIFTY,2026-05-26,23950,CE,117.9,118.35,114,114.1,1673490
2026-05-25 04:42:00+00,NIFTY,2026-05-26,23950,CE,113.9,114.45,109,113.85,1317810
2026-05-25 04:43:00+00,NIFTY,2026-05-26,23950,CE,114.75,115.65,111.95,113.4,798460
2026-05-25 04:44:00+00,NIFTY,2026-05-26,23950,CE,113.4,115.5,111.45,114.9,479700
2026-05-25 04:45:00+00,NIFTY,2026-05-26,23950,CE,115.35,117,115,116.95,649090
2026-05-25 04:41:00+00,NIFTY,2026-05-26,23950,PE,89.2,92.5,88.75,92.5,1335750
2026-05-25 04:42:00+00,NIFTY,2026-05-26,23950,PE,92.7,97.85,92.2,93.3,1636115
2026-05-25 04:43:00+00,NIFTY,2026-05-26,23950,PE,92,93.7,90.75,92.25,785850
2026-05-25 04:44:00+00,NIFTY,2026-05-26,23950,PE,92.35,94,90.2,90.55,644280
2026-05-25 04:45:00+00,NIFTY,2026-05-26,23950,PE,90.05,90.4,88.75,88.75,696735
2026-05-25 04:41:00+00,BANKNIFTY,2026-05-26,55000,CE,322.85,323.35,314,315.65,77610
2026-05-25 04:42:00+00,BANKNIFTY,2026-05-26,55000,CE,315.15,318.6,307.45,315.1,63900
2026-05-25 04:43:00+00,BANKNIFTY,2026-05-26,55000,CE,317.5,320.8,314.05,316.8,66450
